project_id,parcel_id,project_name,project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,compensation_pending_days,notification_status,approval_status,approval_processing_days,rehabilitation_progress,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,planned_completion_date,actual_completion_date,delay_days,delay_status,latitude,longitude
PRJ-1047,PCL-10001,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Dharwad,49.27,35,Low,0.56,0,Partially Disbursed,108,Preliminary Notification (Sec 11),Approved,66,0.61,Partial Possession (30-70%),High / Cooperative,63,0.536,2025-12-30,2026-01-03,4,0,16.954558,75.975545
PRJ-1024,PCL-10002,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,42.58,51,Low,0.66,0,Partially Disbursed,103,Possession Taken (Sec 38),Approved,20,0.73,Full Possession,Low / Resistant,196,0.491,2026-08-23,2027-02-10,171,1,14.626117,76.791232
PRJ-1216,PCL-10003,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Gujarat,Kutch,39.14,33,High,0.52,1,Disputed in Escrow,627,Notification Pending,Approved,32,0.49,Contested / Encroached,Moderate,239,0.504,2025-11-26,2027-01-07,407,1,22.135937,72.971868
PRJ-1202,PCL-10004,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,24.34,17,Low,0.69,0,Partially Disbursed,169,Possession Taken (Sec 38),Under Scrutiny,163,0.73,Partial Possession (30-70%),High / Cooperative,175,0.572,2024-12-08,2025-07-12,216,1,16.376907,81.616505
PRJ-1142,PCL-10005,Madhya Pradesh Integrated Industrial Township 1,Industrial Corridor / SEZ,Madhya Pradesh,Gwalior,31.26,60,Low,0.83,0,Pending Disbursal,98,Declaration Published (Sec 19),Approved,33,0.9,Full Possession,Moderate,335,0.257,2027-06-16,2027-09-15,91,1,22.879314,80.651332
PRJ-1025,PCL-10006,Odisha Green Express Corridor Phase 4,Highway / Expressway,Odisha,Sundargarh,22.17,34,Medium,0.55,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,56,0.96,Initial Stage (<30%),Moderate,239,0.481,2025-09-08,2025-09-16,8,0,20.186309,84.169439
PRJ-1165,PCL-10007,Kutch Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Gujarat,Kutch,29.11,60,Medium,0.83,0,Partially Disbursed,74,Possession Taken (Sec 38),Under Scrutiny,248,0.52,Full Possession,High / Cooperative,307,0.142,2025-04-02,2025-09-25,176,1,21.737022,72.905537
PRJ-1196,PCL-10008,Aviation Logistics Runway Package 2,Airport Infrastructure,Madhya Pradesh,Gwalior,16.0,53,Low,0.71,0,Partially Disbursed,87,Award Declared (Sec 23),Pending Environmental Clearance,87,0.52,Full Possession,High / Cooperative,132,0.259,2026-03-24,,18,0,25.50754,77.089901
PRJ-1212,PCL-10009,NH-93 Four-Laning Bypass Section 5,Highway / Expressway,Karnataka,Dharwad,63.49,43,Low,0.55,0,Pending Disbursal,279,Preliminary Notification (Sec 11),Under Scrutiny,161,0.57,Contested / Encroached,High / Cooperative,234,0.367,2026-03-12,2026-11-10,243,1,17.292152,76.333318
PRJ-1021,PCL-10010,Karnataka Integrated Industrial Township 3,Industrial Corridor / SEZ,Karnataka,Belagavi,48.38,71,Medium,0.86,0,Pending Disbursal,260,Award Declared (Sec 23),Resubmission Required,140,0.35,Full Possession,Moderate,189,0.211,2025-09-25,2025-11-18,54,0,16.83074,75.152123
PRJ-1061,PCL-10011,Kota Ultra Mega Solar Park Unit 3,Renewable / Solar Park,Rajasthan,Kota,26.8,71,Medium,0.87,0,Fully Disbursed,0,Award Declared (Sec 23),Conditional Clearance,178,0.66,Substantial Possession (>70%),Moderate,138,0.214,2026-08-16,2026-09-01,16,0,27.336269,75.500551
PRJ-1134,PCL-10012,Tamil Nadu Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,65.7,85,High,0.46,1,Pending Disbursal,194,Award Declared (Sec 23),Approved,88,0.59,Full Possession,Low / Resistant,158,0.524,2026-05-04,2028-02-01,638,1,10.772792,79.786717
PRJ-1009,PCL-10013,Kutch Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Gujarat,Kutch,52.29,83,Medium,0.71,0,Fully Disbursed,0,Declaration Published (Sec 19),Under Scrutiny,75,0.89,Partial Possession (30-70%),High / Cooperative,169,0.33,2024-05-15,2024-06-10,26,0,21.806245,73.162936
PRJ-1132,PCL-10014,Tamil Nadu Green Express Corridor Phase 2,Highway / Expressway,Tamil Nadu,Tiruchirappalli,13.98,16,Medium,0.46,0,Fully Disbursed,0,Declaration Published (Sec 19),Conditional Clearance,123,0.8,Substantial Possession (>70%),High / Cooperative,351,0.653,2024-07-28,2024-08-08,11,0,12.145426,78.564725
PRJ-1031,PCL-10015,Command Area Distribution Network 1,Irrigation / Water Canal,Maharashtra,Aurangabad,135.96,106,High,0.42,1,Partially Disbursed,89,Preliminary Notification (Sec 11),Conditional Clearance,121,0.53,Full Possession,High / Cooperative,30,0.566,2023-05-22,2024-02-13,267,1,19.569439,78.420038
PRJ-1192,PCL-10016,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Mysuru,12.2,36,High,0.57,1,Pending Disbursal,300,Preliminary Notification (Sec 11),Approved,52,0.4,Contested / Encroached,Low / Resistant,220,0.305,2025-06-18,2026-09-08,447,1,12.846206,76.590731
PRJ-1258,PCL-10017,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Cuttack,182.44,298,Very High,0.61,1,Partially Disbursed,79,Notification Pending,Under Scrutiny,183,0.75,Contested / Encroached,High / Cooperative,279,0.548,2024-03-08,2025-01-02,300,1,21.664209,85.869889
PRJ-1204,PCL-10018,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,21.15,32,Low,0.95,0,Pending Disbursal,131,Preliminary Notification (Sec 11),Approved,97,0.64,Substantial Possession (>70%),Moderate,282,0.131,2024-09-18,2024-10-10,22,0,21.279156,73.27091
PRJ-1029,PCL-10019,Jodhpur Cargo Terminal Expansion 1,Airport Infrastructure,Rajasthan,Jodhpur,35.79,64,High,0.33,1,Disputed in Escrow,228,Notification Pending,Pending Environmental Clearance,114,0.72,Partial Possession (30-70%),Low / Resistant,139,0.483,2025-10-10,2027-01-24,471,1,26.851692,75.196786
PRJ-1244,PCL-10020,Aviation Logistics Runway Package 3,Airport Infrastructure,Karnataka,Mysuru,21.09,65,Low,0.8,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,16,0.34,Full Possession,Moderate,184,0.322,2025-11-23,2026-02-22,91,1,13.878366,77.50731
PRJ-1204,PCL-10021,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,31.86,54,Medium,0.79,0,Partially Disbursed,128,Declaration Published (Sec 19),Conditional Clearance,168,0.39,Partial Possession (30-70%),Moderate,291,0.451,2024-09-18,2025-08-22,338,1,23.743737,70.366818
PRJ-1178,PCL-10022,Andhra Pradesh Dedicated High-Speed Rail Segment 3,Railway & Freight Corridor,Andhra Pradesh,Guntur,30.3,61,Low,0.41,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,15,0.54,Full Possession,Low / Resistant,335,0.813,2023-09-10,2023-09-25,15,0,14.286264,80.191732
PRJ-1252,PCL-10023,Maharashtra Clean Energy Hub Sector 5,Renewable / Solar Park,Maharashtra,Solapur,8.41,20,Low,0.52,0,Partially Disbursed,105,Declaration Published (Sec 19),Conditional Clearance,174,0.45,Full Possession,Moderate,270,0.416,2025-08-12,2025-12-03,113,1,18.711601,76.589441
PRJ-1079,PCL-10024,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Hisar,92.03,76,Low,0.61,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,70,0.8,Substantial Possession (>70%),High / Cooperative,180,0.503,2026-10-18,2026-10-18,0,0,29.825173,76.151689
PRJ-1053,PCL-10025,Haryana Clean Energy Hub Sector 5,Renewable / Solar Park,Haryana,Hisar,12.85,2,Medium,0.58,0,Fully Disbursed,0,Possession Taken (Sec 38),Conditional Clearance,147,0.65,Partial Possession (30-70%),High / Cooperative,99,0.797,2025-07-20,2026-01-15,179,1,28.113029,76.222437
PRJ-1125,PCL-10026,Bharatmala Economic Highway Ring 1,Highway / Expressway,Uttar Pradesh,Prayagraj,15.61,14,Low,0.3,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,40,0.42,Full Possession,Moderate,30,0.485,2026-01-26,2026-02-24,29,0,26.994665,78.965748
PRJ-1127,PCL-10027,Suburban Commuter Rapid Transit Line 2,Urban Metro / Transit,Andhra Pradesh,Kurnool,30.27,95,Medium,0.66,1,Pending Disbursal,284,Award Declared (Sec 23),Approved,35,0.62,Partial Possession (30-70%),High / Cooperative,199,0.74,2026-05-05,2026-11-26,205,1,17.221958,80.479432
PRJ-1070,PCL-10028,Command Area Distribution Network 1,Irrigation / Water Canal,Rajasthan,Jaipur,38.97,55,Medium,0.74,0,Fully Disbursed,0,Possession Taken (Sec 38),Resubmission Required,149,0.46,Partial Possession (30-70%),High / Cooperative,296,0.297,2025-08-31,2025-09-21,21,0,25.371915,74.608946
PRJ-1202,PCL-10029,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,16.44,4,Very High,0.93,0,Fully Disbursed,0,Possession Taken (Sec 38),Pending Environmental Clearance,116,0.51,Full Possession,Moderate,139,0.591,2024-12-08,2024-12-31,23,0,15.656068,82.617129
PRJ-1036,PCL-10030,Bharatmala Economic Highway Ring 2,Highway / Expressway,Haryana,Gurugram,40.04,50,Medium,0.73,0,Partially Disbursed,138,Possession Taken (Sec 38),Approved,15,0.97,Contested / Encroached,Moderate,80,0.496,2024-05-20,2024-08-28,100,1,30.015517,77.061748
