parcel_id,project_id,state,district,latitude,longitude,project_type,land_area_acres,affected_families,affected_family_density,land_area_per_family,documentation_completeness_pct,rehabilitation_progress_pct,legal_dispute_indicator,compensation_pending_days,approval_processing_days,approval_delay_days,administrative_processing_days,historical_delay_rate,compensation_status,notification_status,approval_status,possession_status,stakeholder_responsiveness,ownership_complexity,ownership_complexity_score,stakeholder_response_score,possession_progress_score,operational_friction_index,target_delay_status,target_delay_days
PCL-10001,PRJ-1047,Karnataka,Dharwad,16.954558,75.975545,Renewable / Solar Park,49.27,35,0.7104,1.4077,56.0,61.0,0,108,66,6,63,0.536,Partially Disbursed,Preliminary Notification (Sec 11),Approved,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,19.5,0,4
PCL-10002,PRJ-1024,Karnataka,Kalaburagi,14.626117,76.791232,Railway & Freight Corridor,42.58,51,1.1977,0.8349,66.0,73.0,0,103,20,0,196,0.491,Partially Disbursed,Possession Taken (Sec 38),Approved,Full Possession,Low / Resistant,Low,1,2,5,28.58,1,171
PCL-10003,PRJ-1216,Gujarat,Kutch,22.135937,72.971868,Railway & Freight Corridor,39.14,33,0.8431,1.186,52.0,49.0,1,627,32,0,239,0.504,Disputed in Escrow,Notification Pending,Approved,Contested / Encroached,Moderate,High,3,3,1,67.41,1,407
PCL-10004,PRJ-1202,Andhra Pradesh,Guntur,16.376907,81.616505,Renewable / Solar Park,24.34,17,0.6984,1.4317,69.0,73.0,0,169,163,103,175,0.572,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,22.41,1,216
PCL-10005,PRJ-1142,Madhya Pradesh,Gwalior,22.879314,80.651332,Industrial Corridor / SEZ,31.26,60,1.9194,0.521,83.0,90.0,0,98,33,0,335,0.257,Pending Disbursal,Declaration Published (Sec 19),Approved,Full Possession,Moderate,Low,1,3,5,24.74,1,91
PCL-10006,PRJ-1025,Odisha,Sundargarh,20.186309,84.169439,Highway / Expressway,22.17,34,1.5336,0.652,55.0,96.0,0,0,56,0,239,0.481,Fully Disbursed,Award Declared (Sec 23),Approved,Initial Stage (<30%),Moderate,Medium,2,3,2,22.11,0,8
PCL-10007,PRJ-1165,Gujarat,Kutch,21.737022,72.905537,Irrigation / Water Canal,29.11,60,2.0611,0.4852,83.0,52.0,0,74,248,188,307,0.142,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,High / Cooperative,Medium,2,4,5,22.75,1,176
PCL-10008,PRJ-1196,Madhya Pradesh,Gwalior,25.50754,77.089901,Airport Infrastructure,16.0,53,3.3125,0.3019,71.0,52.0,0,87,87,27,132,0.259,Partially Disbursed,Award Declared (Sec 23),Pending Environmental Clearance,Full Possession,High / Cooperative,Low,1,4,5,19.13,0,18
PCL-10009,PRJ-1212,Karnataka,Dharwad,17.292152,76.333318,Highway / Expressway,63.49,43,0.6773,1.4765,55.0,57.0,0,279,161,101,234,0.367,Pending Disbursal,Preliminary Notification (Sec 11),Under Scrutiny,Contested / Encroached,High / Cooperative,Low,1,4,1,33.54,1,243
PCL-10010,PRJ-1021,Karnataka,Belagavi,16.83074,75.152123,Industrial Corridor / SEZ,48.38,71,1.4675,0.6814,86.0,35.0,0,260,140,80,189,0.211,Pending Disbursal,Award Declared (Sec 23),Resubmission Required,Full Possession,Moderate,Medium,2,3,5,30.82,0,54
PCL-10011,PRJ-1061,Rajasthan,Kota,27.336269,75.500551,Renewable / Solar Park,26.8,71,2.6493,0.3775,87.0,66.0,0,0,178,118,138,0.214,Fully Disbursed,Award Declared (Sec 23),Conditional Clearance,Substantial Possession (>70%),Moderate,Medium,2,3,4,14.92,0,16
PCL-10012,PRJ-1134,Tamil Nadu,Kanchipuram,10.772792,79.786717,Irrigation / Water Canal,65.7,85,1.2938,0.7729,46.0,59.0,1,194,88,28,158,0.524,Pending Disbursal,Award Declared (Sec 23),Approved,Full Possession,Low / Resistant,High,3,2,5,61.3,1,638
PCL-10013,PRJ-1009,Gujarat,Kutch,21.806245,73.162936,Irrigation / Water Canal,52.29,83,1.5873,0.63,71.0,89.0,0,0,75,15,169,0.33,Fully Disbursed,Declaration Published (Sec 19),Under Scrutiny,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,13.24,0,26
PCL-10014,PRJ-1132,Tamil Nadu,Tiruchirappalli,12.145426,78.564725,Highway / Expressway,13.98,16,1.1445,0.8737,46.0,80.0,0,0,123,63,351,0.653,Fully Disbursed,Declaration Published (Sec 19),Conditional Clearance,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,25.96,0,11
PCL-10015,PRJ-1031,Maharashtra,Aurangabad,19.569439,78.420038,Irrigation / Water Canal,135.96,106,0.7796,1.2826,42.0,53.0,1,89,121,61,30,0.566,Partially Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Full Possession,High / Cooperative,High,3,4,5,46.08,1,267
PCL-10016,PRJ-1192,Karnataka,Mysuru,12.846206,76.590731,Renewable / Solar Park,12.2,36,2.9508,0.3389,57.0,40.0,1,300,52,0,220,0.305,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Contested / Encroached,Low / Resistant,High,3,2,1,67.68,1,447
PCL-10017,PRJ-1258,Odisha,Cuttack,21.664209,85.869889,Industrial Corridor / SEZ,182.44,298,1.6334,0.6122,61.0,75.0,1,79,183,123,279,0.548,Partially Disbursed,Notification Pending,Under Scrutiny,Contested / Encroached,High / Cooperative,Very High,4,4,1,49.01,1,300
PCL-10018,PRJ-1204,Gujarat,Bharuch,21.279156,73.27091,Irrigation / Water Canal,21.15,32,1.513,0.6609,95.0,64.0,0,131,97,37,282,0.131,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,24.31,0,22
PCL-10019,PRJ-1029,Rajasthan,Jodhpur,26.851692,75.196786,Airport Infrastructure,35.79,64,1.7882,0.5592,33.0,72.0,1,228,114,54,139,0.483,Disputed in Escrow,Notification Pending,Pending Environmental Clearance,Partial Possession (30-70%),Low / Resistant,High,3,2,3,63.28,1,471
