project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Water Resources,Bihar,Patna,38.58,22,0.23,0.98,0,0.91,0.79,0.82,0.72,0.52,205,0.3,0,0
Industrial Corridors,Odisha,Cuttack,34.26,61,0.35,0.34,0,0.84,0.21,0.96,0.14,0.46,71,0.24,1,174
Railways,West Bengal,Murshidabad,11.92,22,0.3,0.74,1,0.23,0.8,0.59,0.24,0.36,210,0.57,1,353
Water Resources,Tamil Nadu,Madurai,70.73,45,0.89,0.89,0,1.0,0.53,0.58,0.94,0.83,175,0.34,0,0
Railways,Bihar,Gaya,8.44,17,0.73,0.65,0,0.7,0.87,0.93,0.35,0.79,126,0.48,0,0
Highways,Rajasthan,Kota,47.91,101,0.37,0.7,1,0.56,0.29,0.82,0.31,0.49,62,0.47,0,0
Industrial Corridors,Gujarat,Vadodara,54.19,75,0.75,0.52,0,0.96,0.71,0.79,0.13,0.33,141,0.13,1,265
Industrial Corridors,Bihar,Darbhanga,27.77,52,0.12,0.73,0,0.84,0.81,0.81,0.68,0.91,168,0.08,0,0
Water Resources,West Bengal,North 24 Parganas,43.94,74,0.55,0.51,1,0.72,0.28,0.54,0.51,0.44,91,0.55,1,248
Highways,Tamil Nadu,Tiruchirappalli,26.53,57,0.31,0.57,0,0.85,0.84,0.14,0.19,0.78,121,0.34,0,0
Water Resources,Odisha,Sundargarh,44.36,45,0.2,0.28,0,0.45,0.96,0.28,0.62,0.55,103,0.54,1,162
Industrial Corridors,West Bengal,Hooghly,73.28,113,0.85,0.21,1,0.72,0.65,0.68,0.52,0.79,140,0.23,1,291
Industrial Corridors,West Bengal,Hooghly,17.57,24,0.27,0.24,0,0.27,0.81,0.46,0.56,0.56,111,0.57,0,0
Solar Parks,Gujarat,Surat,56.78,91,0.8,0.35,0,0.99,0.58,0.65,0.95,0.89,257,0.55,1,218
Water Resources,Karnataka,Belagavi,128.24,200,0.45,0.56,1,0.63,0.64,0.6,0.08,0.8,198,0.28,1,226
Solar Parks,Tamil Nadu,Madurai,40.92,62,0.11,0.22,0,0.83,0.11,0.49,0.87,0.4,110,0.3,1,172
Highways,Uttar Pradesh,Agra,22.14,63,0.72,0.32,0,0.47,0.57,0.31,0.81,0.52,116,0.26,0,0
Mining,West Bengal,Hooghly,202.47,224,0.61,0.81,1,0.78,0.62,0.75,0.42,0.28,93,0.07,1,204
Railways,Karnataka,Bengaluru Urban,35.55,53,0.39,0.79,1,0.45,0.7,0.92,0.84,0.88,153,0.46,0,0
Solar Parks,Uttar Pradesh,Kanpur,39.85,74,0.34,0.82,0,0.63,0.25,0.79,0.63,0.25,239,0.21,1,208
Railways,Tamil Nadu,Coimbatore,40.52,82,0.16,0.92,0,0.8,0.32,0.21,0.85,0.21,213,0.58,1,249
Urban Infrastructure,Maharashtra,Nashik,47.38,74,0.9,0.29,1,0.2,0.78,0.58,0.59,0.57,168,0.59,1,257
Highways,Rajasthan,Jaipur,25.25,31,0.52,0.33,0,0.42,0.25,0.85,0.24,0.65,146,0.48,1,193
